resource_id,module_number,title,primary_chapter,primary_chapter_title,additional_chapters,related_core_resources,related_case,formats,version,status,folder,primary_related_case,additional_related_cases,related_cases,script_path,notebook_path,xlsx_template_path,ods_template_path,example_outputs_path
AIHE-PY24,24,Implementation evaluation with interrupted time series and control charts,11,"Evidence, Validation, and Real-World Evaluation","4, 11",AIHE-C01; AIHE-B05,AIHE-CASE11,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/11/python_analytics/AIHE-PY24_implementation_evaluation_with_interrupted_time_series_and_control_charts,AIHE-CASE11,,AIHE-CASE11,chapters/11/python_analytics/AIHE-PY24_implementation_evaluation_with_interrupted_time_series_and_control_charts/python/24_implementation_evaluation.py,chapters/11/python_analytics/AIHE-PY24_implementation_evaluation_with_interrupted_time_series_and_control_charts/notebook/24_implementation_evaluation.ipynb,chapters/11/python_analytics/AIHE-PY24_implementation_evaluation_with_interrupted_time_series_and_control_charts/data/xlsx/24_implementation_evaluation_template.xlsx,chapters/11/python_analytics/AIHE-PY24_implementation_evaluation_with_interrupted_time_series_and_control_charts/data/ods/24_implementation_evaluation_template.ods,chapters/11/python_analytics/AIHE-PY24_implementation_evaluation_with_interrupted_time_series_and_control_charts/outputs/example
AIHE-PY30,30,Random-effects meta-analysis and forest plot,11,"Evidence, Validation, and Real-World Evaluation",11,AIHE-B05; AIHE-RG02,AIHE-CASE11,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/11/python_analytics/AIHE-PY30_random_effects_meta_analysis_and_forest_plot,AIHE-CASE11,,AIHE-CASE11,chapters/11/python_analytics/AIHE-PY30_random_effects_meta_analysis_and_forest_plot/python/30_random_effects_meta_analysis.py,chapters/11/python_analytics/AIHE-PY30_random_effects_meta_analysis_and_forest_plot/notebook/30_random_effects_meta_analysis.ipynb,chapters/11/python_analytics/AIHE-PY30_random_effects_meta_analysis_and_forest_plot/data/xlsx/30_random_effects_meta_analysis_template.xlsx,chapters/11/python_analytics/AIHE-PY30_random_effects_meta_analysis_and_forest_plot/data/ods/30_random_effects_meta_analysis_template.ods,chapters/11/python_analytics/AIHE-PY30_random_effects_meta_analysis_and_forest_plot/outputs/example
AIHE-PY31,31,Difference-in-differences evaluation,11,"Evidence, Validation, and Real-World Evaluation",11,AIHE-B05,AIHE-CASE11,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/11/python_analytics/AIHE-PY31_difference_in_differences_evaluation,AIHE-CASE11,,AIHE-CASE11,chapters/11/python_analytics/AIHE-PY31_difference_in_differences_evaluation/python/31_difference_in_differences.py,chapters/11/python_analytics/AIHE-PY31_difference_in_differences_evaluation/notebook/31_difference_in_differences.ipynb,chapters/11/python_analytics/AIHE-PY31_difference_in_differences_evaluation/data/xlsx/31_difference_in_differences_template.xlsx,chapters/11/python_analytics/AIHE-PY31_difference_in_differences_evaluation/data/ods/31_difference_in_differences_template.ods,chapters/11/python_analytics/AIHE-PY31_difference_in_differences_evaluation/outputs/example
AIHE-PY32,32,Time-to-event and survival analysis,11,"Evidence, Validation, and Real-World Evaluation","7, 8, 11",AIHE-B05,AIHE-CASE11,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/11/python_analytics/AIHE-PY32_time_to_event_and_survival_analysis,AIHE-CASE11,,AIHE-CASE11,chapters/11/python_analytics/AIHE-PY32_time_to_event_and_survival_analysis/python/32_survival_time_to_event.py,chapters/11/python_analytics/AIHE-PY32_time_to_event_and_survival_analysis/notebook/32_survival_time_to_event.ipynb,chapters/11/python_analytics/AIHE-PY32_time_to_event_and_survival_analysis/data/xlsx/32_survival_time_to_event_template.xlsx,chapters/11/python_analytics/AIHE-PY32_time_to_event_and_survival_analysis/data/ods/32_survival_time_to_event_template.ods,chapters/11/python_analytics/AIHE-PY32_time_to_event_and_survival_analysis/outputs/example
AIHE-PY09,09,Temporal validation and drift monitoring,12,Decision Architecture and Lifecycle Governance,"11, 12",AIHE-D03; AIHE-D05; AIHE-B05,AIHE-CASE12,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/12/python_analytics/AIHE-PY09_temporal_validation_and_drift_monitoring,AIHE-CASE12,,AIHE-CASE12,chapters/12/python_analytics/AIHE-PY09_temporal_validation_and_drift_monitoring/python/09_temporal_validation_and_drift.py,chapters/12/python_analytics/AIHE-PY09_temporal_validation_and_drift_monitoring/notebook/09_temporal_validation_and_drift.ipynb,chapters/12/python_analytics/AIHE-PY09_temporal_validation_and_drift_monitoring/data/xlsx/09_temporal_validation_and_drift_template.xlsx,chapters/12/python_analytics/AIHE-PY09_temporal_validation_and_drift_monitoring/data/ods/09_temporal_validation_and_drift_template.ods,chapters/12/python_analytics/AIHE-PY09_temporal_validation_and_drift_monitoring/outputs/example
AIHE-PY27,27,"Algorithmovigilance, lifecycle cadence, drift, and incident monitoring",12,Decision Architecture and Lifecycle Governance,"5, 11, 12",AIHE-D03; AIHE-D04,AIHE-CASE12,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/12/python_analytics/AIHE-PY27_algorithmovigilance_lifecycle_cadence_drift_and_incident_monitoring,AIHE-CASE12,,AIHE-CASE12,chapters/12/python_analytics/AIHE-PY27_algorithmovigilance_lifecycle_cadence_drift_and_incident_monitoring/python/27_algorithmovigilance_monitoring.py,chapters/12/python_analytics/AIHE-PY27_algorithmovigilance_lifecycle_cadence_drift_and_incident_monitoring/notebook/27_algorithmovigilance_monitoring.ipynb,chapters/12/python_analytics/AIHE-PY27_algorithmovigilance_lifecycle_cadence_drift_and_incident_monitoring/data/xlsx/27_algorithmovigilance_monitoring_template.xlsx,chapters/12/python_analytics/AIHE-PY27_algorithmovigilance_lifecycle_cadence_drift_and_incident_monitoring/data/ods/27_algorithmovigilance_monitoring_template.ods,chapters/12/python_analytics/AIHE-PY27_algorithmovigilance_lifecycle_cadence_drift_and_incident_monitoring/outputs/example
AIHE-PY29,29,AI-HED completeness and institutional decision-quality audit,12,Decision Architecture and Lifecycle Governance,12,AIHE-D02,AIHE-CASE12,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/12/python_analytics/AIHE-PY29_ai_hed_completeness_and_institutional_decision_quality_audit,AIHE-CASE12,,AIHE-CASE12,chapters/12/python_analytics/AIHE-PY29_ai_hed_completeness_and_institutional_decision_quality_audit/python/29_integrated_decision_dossier.py,chapters/12/python_analytics/AIHE-PY29_ai_hed_completeness_and_institutional_decision_quality_audit/notebook/29_integrated_decision_dossier.ipynb,chapters/12/python_analytics/AIHE-PY29_ai_hed_completeness_and_institutional_decision_quality_audit/data/xlsx/29_integrated_decision_dossier_template.xlsx,chapters/12/python_analytics/AIHE-PY29_ai_hed_completeness_and_institutional_decision_quality_audit/data/ods/29_integrated_decision_dossier_template.ods,chapters/12/python_analytics/AIHE-PY29_ai_hed_completeness_and_institutional_decision_quality_audit/outputs/example
AIHE-PY36,36,"Environmental, material-flow, and lifecycle resource accounting",13,Circular Health Systems and Resource Stewardship,"13, 15",AIHE-E01; AIHE-E05,AIHE-CASE13,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/13/python_analytics/AIHE-PY36_environmental_material_flow_and_lifecycle_resource_accounting,AIHE-CASE13,,AIHE-CASE13,chapters/13/python_analytics/AIHE-PY36_environmental_material_flow_and_lifecycle_resource_accounting/python/36_circular_economy_material_carbon_cost.py,chapters/13/python_analytics/AIHE-PY36_environmental_material_flow_and_lifecycle_resource_accounting/notebook/36_circular_economy_material_carbon_cost.ipynb,chapters/13/python_analytics/AIHE-PY36_environmental_material_flow_and_lifecycle_resource_accounting/data/xlsx/36_circular_economy_material_carbon_cost_template.xlsx,chapters/13/python_analytics/AIHE-PY36_environmental_material_flow_and_lifecycle_resource_accounting/data/ods/36_circular_economy_material_carbon_cost_template.ods,chapters/13/python_analytics/AIHE-PY36_environmental_material_flow_and_lifecycle_resource_accounting/outputs/example
AIHE-PY39,39,Annual circularity portfolio review and trend monitoring,13,Circular Health Systems and Resource Stewardship,"12, 13, 14, 15",AIHE-E05,AIHE-CASE13,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/13/python_analytics/AIHE-PY39_annual_circularity_portfolio_review_and_trend_monitoring,AIHE-CASE13,,AIHE-CASE13,chapters/13/python_analytics/AIHE-PY39_annual_circularity_portfolio_review_and_trend_monitoring/python/39_annual_circularity_portfolio_review.py,chapters/13/python_analytics/AIHE-PY39_annual_circularity_portfolio_review_and_trend_monitoring/notebook/39_annual_circularity_portfolio_review.ipynb,chapters/13/python_analytics/AIHE-PY39_annual_circularity_portfolio_review_and_trend_monitoring/data/xlsx/39_annual_circularity_portfolio_review_template.xlsx,chapters/13/python_analytics/AIHE-PY39_annual_circularity_portfolio_review_and_trend_monitoring/data/ods/39_annual_circularity_portfolio_review_template.ods,chapters/13/python_analytics/AIHE-PY39_annual_circularity_portfolio_review_and_trend_monitoring/outputs/example
AIHE-PY37,37,Circular asset-life option analysis,14,Circular Procurement and Asset Stewardship,"6, 14, 15",AIHE-E03,AIHE-CASE14,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/14/python_analytics/AIHE-PY37_circular_asset_life_option_analysis,AIHE-CASE14,,AIHE-CASE14,chapters/14/python_analytics/AIHE-PY37_circular_asset_life_option_analysis/python/37_reuse_refurbish_replace_scenarios.py,chapters/14/python_analytics/AIHE-PY37_circular_asset_life_option_analysis/notebook/37_reuse_refurbish_replace_scenarios.ipynb,chapters/14/python_analytics/AIHE-PY37_circular_asset_life_option_analysis/data/xlsx/37_reuse_refurbish_replace_scenarios_template.xlsx,chapters/14/python_analytics/AIHE-PY37_circular_asset_life_option_analysis/data/ods/37_reuse_refurbish_replace_scenarios_template.ods,chapters/14/python_analytics/AIHE-PY37_circular_asset_life_option_analysis/outputs/example
AIHE-PY38,38,Circularity-adjusted economic evaluation and sustainable value,15,Circularity-Adjusted Evaluation and Sustainable Value,"7, 8, 15",AIHE-E04,AIHE-CASE15,py; ipynb; xlsx; ods; csv; json; png; md,V1.0,public,chapters/15/python_analytics/AIHE-PY38_circularity_adjusted_economic_evaluation_and_sustainable_value,AIHE-CASE15,,AIHE-CASE15,chapters/15/python_analytics/AIHE-PY38_circularity_adjusted_economic_evaluation_and_sustainable_value/python/38_circularity_adjusted_economic_evaluation.py,chapters/15/python_analytics/AIHE-PY38_circularity_adjusted_economic_evaluation_and_sustainable_value/notebook/38_circularity_adjusted_economic_evaluation.ipynb,chapters/15/python_analytics/AIHE-PY38_circularity_adjusted_economic_evaluation_and_sustainable_value/data/xlsx/38_circularity_adjusted_economic_evaluation_template.xlsx,chapters/15/python_analytics/AIHE-PY38_circularity_adjusted_economic_evaluation_and_sustainable_value/data/ods/38_circularity_adjusted_economic_evaluation_template.ods,chapters/15/python_analytics/AIHE-PY38_circularity_adjusted_economic_evaluation_and_sustainable_value/outputs/example
